,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差
0,20230703,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0025540000000000003,0,0
1,20230704,0.01,0,0,0,0,0.01,0,0.004882,0,0
2,20230705,0,0,0,0,0,0,0,0,0,0
3,20230706,0,0,0,0,0,0,0,0,0,0
4,20230707,0,0,0,0,0,0,0,0,0,0
5,20230710,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001118,0,0
6,20230711,0,0,0,0,0,0,0,0,0,0
7,20230712,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.002549,0,0
8,20230713,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.005057000000000001,0,0
9,20230714,0.006666666666666667,0,0,0,0,0.006666666666666667,0.0033333333333333335,0.009951000000000002,0.005057000000000001,0
10,20230717,0,0,0,0,0,0,0,0,0,0
11,20230718,0,0,0,0,0,0,0,0,0,0
12,20230719,0,0,0,0,0,0,0,0,0,0
13,20230720,0,0,0,0,0,0,0,0,0,0
14,20230721,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000898,0,0
15,20230724,0,0,0,0,0,0,0,0,0,0
16,20230725,0.02666666666666667,0,0,0,0,0.02666666666666667,0,0.017630000000000003,0,0
17,20230726,0,0,0,0,0,0,0,0,0,0
18,20230727,0,0,0,0,0,0,0,0,0,0
19,20230728,0.013333333333333334,0.0033333333333333335,0,0,0,0.01,0,0.021507000000000002,0,0
20,20230731,0,0,0,0,0,0,0,0,0,0
21,20230801,0,0,0,0,0,0,0,0,0,0
22,20230802,0,0,0,0,0,0,0,0,0,0
23,20230803,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0014960000000000002,0,0
24,20230804,0,0,0,0,0,0,0,0,0,0
25,20230807,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0064529999999999995,0,0
26,20230808,0,0,0,0,0,0,0,0,0,0
27,20230809,0,0,0,0,0,0,0,0,0,0
28,20230810,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00039600000000000003,0,0
29,20230811,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.00039600000000000003,0,0
30,20230814,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012770000000000001,0,0
31,20230815,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012339999999999999,0,0
32,20230816,0,0,0,0,0,0,0,0,0,0
33,20230817,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001101,0,0
34,20230818,0,0,0,0,0,0,0,0,0,0
35,20230821,0,0,0,0,0,0,0,0,0,0
36,20230822,0.0033333333333333335,0.006666666666666667,0,0,0,-0.0033333333333333335,0,-0.00046500000000000014,0,0
37,20230823,0,0,0,0,0,0,0,0,0,0
38,20230824,0.006666666666666667,0.006666666666666667,0,0,0,0.0,0,0.0004460000000000002,0,0
39,20230825,0,0.01,0,0,0,-0.01,0,-0.0051400000000000005,0,0
40,20230828,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.000911,0,0
41,20230829,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.007251999999999999,0,0
42,20230830,0,0,0,0,0,0,0,0,0,0
43,20230831,0,0,0,0,0,0,0,0,0,0
44,20230901,0,0,0,0,0,0,0,0,0,0
45,20230904,0,0.0033333333333333335,0,0,0,-0.0033333333333333335,0,-0.0012439999999999999,0,0
46,20230905,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0012900000000000001,0,0
47,20230906,0,0,0,0,0,0,0,0,0,0
48,20230907,0,0,0,0,0,0,0,0,0,0
49,20230908,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000393,0,0
50,20230911,0,0,0,0,0,0,0,0,0,0
51,20230912,0,0,0,0,0,0,0,0,0,0
52,20230913,0,0,0,0,0,0,0,0,0,0
53,20230914,0,0,0,0,0,0,0,0,0,0
54,20230915,0,0,0,0,0,0,0,0,0,0
55,20230918,0,0,0,0,0,0,0,0,0,0
56,20230919,0,0,0,0,0,0,0,0,0,0
57,20230920,0,0,0,0,0,0,0,0,0,0
58,20230921,0,0,0,0,0,0,0,0,0,0
59,20230922,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0038290000000000004,0,0
60,20230925,0,0,0,0,0,0,0,0,0,0
61,20230926,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001918,0,0
62,20230927,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0012900000000000001,0,0
63,20230928,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0013900000000000002,0,0
